指标编号,管理分类,子项名字,子项,字段,字段类型,英文名称（indicator_name）,单位,备注
KPI-windows-ALL-123,网络信息,端口信息,WinInterface,入帧量,指标,ifInUcastPkts,帧/秒,
KPI-windows-ALL-124,网络信息,端口信息,WinInterface,出帧量,指标,ifOutUcastPkts,帧/秒,
KPI-windows-ALL-125,网络信息,端口信息,WinInterface,总帧量,指标,ifUcastPkts,帧/秒,
KPI-windows-ALL-126,网络信息,端口信息,WinInterface,入广播数,指标,ifInNUcastPkts,帧/秒,
KPI-windows-ALL-127,网络信息,端口信息,WinInterface,出广播数,指标,ifOutNUcastPkts,帧/秒,
KPI-windows-ALL-128,网络信息,端口信息,WinInterface,总广播数,指标,ifNUcastPkts,帧/秒,
KPI-windows-ALL-129,网络信息,端口信息,WinInterface,入丢弃数,指标,ifInDiscards,帧/秒,
KPI-windows-ALL-130,网络信息,端口信息,WinInterface,出丢弃数,指标,ifOutDiscards,帧/秒,
KPI-windows-ALL-131,网络信息,端口信息,WinInterface,总丢弃数,指标,ifDiscards,帧/秒,
KPI-windows-ALL-132,网络信息,端口信息,WinInterface,入错帧数,指标,ifInErrors,帧/分,
KPI-windows-ALL-133,网络信息,端口信息,WinInterface,出错帧数,指标,ifOutErrors,帧/分,
KPI-windows-ALL-134,网络信息,端口信息,WinInterface,总错帧数,指标,ifErrors,帧/分,
KPI-windows-ALL-135,网络信息,端口信息,WinInterface,入帧长度,指标,ifInPktLen,bytes,
KPI-windows-ALL-136,网络信息,端口信息,WinInterface,出帧长度,指标,ifOutPktLen,bytes,
KPI-windows-ALL-137,网络信息,端口信息,WinInterface,帧均长度,指标,ifPktLen,bytes,
KPI-windows-ALL-138,网络信息,端口信息,WinInterface,入带宽占用率,指标,ifInPercent,%,
KPI-windows-ALL-139,网络信息,端口信息,WinInterface,出带宽占用率,指标,ifOutPercent,%,
KPI-windows-ALL-140,网络信息,端口信息,WinInterface,总带宽占用率,指标,ifPercent,%,
KPI-windows-ALL-141,网络信息,网络流量统计,,网络入流量,指标,InOctets,Kbps,
KPI-windows-ALL-142,网络信息,网络流量统计,,网络总流量,指标,OutOctets,Kbps,
KPI-windows-ALL-143,网络信息,网络流量统计,,网络出流量,指标,Octets,Kbps,
KPI-windows-ALL-158,网络信息,吞吐量,,30分钟吞吐量,指标,Capacity_HHour,bps,
KPI-windows-ALL-159,网络信息,吞吐量,,周吞吐量,指标,Capacity_Week,bps,
KPI-windows-ALL-146,服务信息,服务列表,WinService,服务名（key）,静态属性,name,,
KPI-windows-ALL-147,服务信息,服务列表,WinService,状态,指标,SvcStatus,,返回值：Stopped/Started
KPI-windows-ALL-148,共享文件夹,ShareFolder,WinShareFolder,共享名（key）,静态属性,name,,
KPI-windows-ALL-149,共享文件夹,ShareFolder,WinShareFolder,状态,指标,Status,,
KPI-windows-ALL-84,进程管理,进程列表WinProcess,,进程名称,JSON,CMD,,
KPI-windows-ALL-85,进程管理,进程列表WinProcess,,进程ID,JSON,PID,,
KPI-windows-ALL-86,进程管理,进程列表WinProcess,,CPU使用率,JSON,CPU,%,
KPI-windows-ALL-87,进程管理,进程列表WinProcess,,MEM使用率,JSON,MEMRatio,%,
KPI-windows-ALL-88,进程管理,进程列表WinProcess,,进程请求的虚拟内存量,JSON,SZ,KB,
KPI-windows-ALL-89,进程管理,进程列表WinProcess,,内存占用大小,JSON,MEM,KB,
KPI-windows-ALL-90,进程管理,进程列表WinProcess,,持续运行时间,JSON,Time,s,
KPI-windows-ALL-91,进程管理,进程列表WinProcess,,进程状态,JSON,Status,,返回值：正在运行/未运行
KPI-windows-ALL-154,进程管理,进程列表WinProcess,,IO写次数,JSON,IOWriteOperationsPerSec,次,
KPI-windows-ALL-155,进程管理,进程列表WinProcess,,IO读次数,JSON,IOReadOperationsPerSec,次,
KPI-windows-ALL-156,进程管理,进程列表WinProcess,,IO写字节,JSON,IOWriteBytesPerSec,bytes,
KPI-windows-ALL-157,进程管理,进程列表WinProcess,,IO读字节,JSON,IOReadBytesPerSec,bytes,
KPI-windows-ALL-92,进程管理,进程数,,当前进程列表总数,指标,Process_Count,,
